,tweet_count,rt_avg,rt_var,time_avg,time_var,tag_obama_sum,tag_criminal_sum,tag_thanks_sum,tag_america_sum,tag_china_sum,tag_money_sum,tag_president_sum,tag_democrat_sum,tag_trump_sum,tag_vote_sum,tag_jobs_sum,prior_tag_liberal_sum,prior_tag_republican_sum,prior_tag_foreign_sum,prior_tag_policy_sum,prior_tag_mexico_sum,prior_tag_china_sum,prior_tag_russia_sum,prior_tag_obama_sum,prior_tag_taxes_sum,prior_tag_media_sum,is_weekend,delta
115,3,0.03662870833423538,0.0003149128922628861,774.3333333333334,373872.3333333333,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,False,-0.05922999999999945
116,2,0.15884317291247213,0.022532890621393246,767.0,66978.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0.028670000000005302
117,3,0.04426818355668131,0.00013314653097703602,997.6666666666666,101189.33333333333,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,-0.04817000000000604
118,2,0.046678465501937605,0.00019098104684089895,1003.5,88620.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.3659900000000036
119,4,0.0588913424693122,0.0011086020419460451,893.0,12734.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,-0.15404000000000195
120,2,0.04891916174146478,0.0007445851191289861,975.5,110920.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.06562000000000268
121,4,0.03245559199844125,7.659142224459343e-05,1129.25,43238.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.2208699999999979
122,4,0.03886714944469702,0.00012585309665114706,923.0,127748.66666666667,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,False,-0.003129999999998745
123,7,0.032709680611869345,0.00029802336265982574,844.5714285714286,37037.619047619046,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,True,0.09000999999999948
124,12,0.02767111017297742,0.0003959462548119351,813.1666666666666,40521.78787878788,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,True,-0.003900000000001569
125,6,0.061929001320603576,0.0006963466261116254,501.1666666666667,142801.36666666667,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,False,-0.15261999999999887
126,5,0.04246660604879738,0.00047494357400803736,764.8,10675.699999999999,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,False,-0.06358999999999781
127,9,0.10268895576098279,0.01327738155309328,766.6666666666666,103199.5,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,False,-0.03354999999999819
128,5,0.055817150527158965,0.0005598433737724255,656.6,368945.3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False,-0.00740000000000407
129,10,0.03581271243315797,0.0012398684203971033,621.5,61691.166666666664,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,False,-0.10813999999999879
130,4,0.09459634993829966,0.0062999636457591185,1339.25,12082.916666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,-0.1078900000000047
131,3,0.17196170971257027,0.001206644428621547,691.0,144.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0.10804999999999865
132,8,0.04935552921564807,0.00028376199698290107,838.625,76164.55357142857,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,-0.3949799999999968
133,10,0.08508692169470243,0.0039741175990802066,690.1,62032.98888888889,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,1,False,-0.3230399999999989
134,5,0.044991989781559175,0.00048327895695592717,311.6,139943.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,-0.037649999999999295
135,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,-0.20063999999999993
136,7,0.05132841277057682,0.0005341625336619438,940.5714285714286,75844.95238095238,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,False,0.0858300000000014
137,2,0.05639897382607001,1.565944515947022e-05,675.0,665858.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,-0.03405000000000058
138,4,0.06676760624364053,0.00016377793184025124,750.75,157.58333333333334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,True,0.20094000000000278
139,8,0.034765295187374166,0.00033917163063335634,566.75,248350.7857142857,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,-0.03932999999999964
